ID,Population,Sex,Included.in.UnrelatedSet,sample.longitude,sample.latitude
861530,CH,1,1,6.9144102144788,46.7703030453899
862783,CH,2,1,6.90898786818808,46.8537047006285
868867,CH,1,1,6.88085980716096,46.7412065839802
871031,CH,1,0,6.88922883155325,46.8381211496562
871960,CH,1,0,6.9084311558208,46.8443454910351
875626,CH,1,1,6.94635507000899,46.8434267974316
877004,CH,1,1,7.03291285104386,46.8904628863395
877125,CH,1,0,6.89650557874618,46.8770526244646
877175,CH,1,0,6.88469,46.87809
877177,CH,2,0,6.88469,46.87809
877321,CH,1,0,6.90837346201792,46.8708203544548
877337,CH,2,0,7.13043372053794,46.9770498149603
877391,CH,2,1,7.13043372053794,46.9770498149603
877448,CH,2,0,6.84816427016967,46.7156742017986
877475,CH,2,0,6.90898786818808,46.8537047006285
877511,CH,2,0,6.92625743443526,46.8702091656185
877558,CH,2,1,6.84778562308615,46.8295912219986
877566,CH,2,1,6.86444763120679,46.8484702959729
877811,CH,1,0,6.88085980716096,46.7412065839802
877825,CH,1,0,6.99183146675281,46.8080731661794
877861,CH,1,0,6.99183146675281,46.8080731661794
877921,CH,2,1,6.9084311558208,46.8443454910351
877922,CH,1,0,6.93471646292735,46.8262842225228
877925,CH,2,0,6.98977423512563,46.8546439682151
878735,CH,2,0,6.84778562308615,46.8295912219986
881115,CH,2,1,6.88085980716096,46.7412065839802
883063,CH,2,1,6.93471646292735,46.8262842225228
889010,CH,1,0,6.98977423512563,46.8546439682151
889131,CH,1,1,6.7200304252841,46.7812385205119
889182,CH,1,1,7.059488322243,46.9465946958395
889183,CH,2,1,6.94083747654784,46.7914005521181
889252,CH,1,1,6.99963554510414,46.9420816266729
889272,CH,1,0,7.059488322243,46.9465946958395
889378,CH,1,1,6.96090251180602,46.8579182661176
889732,CH,1,0,6.94505648637344,46.795511845684
889746,CH,1,0,6.96090251180602,46.8579182661176
889771,CH,2,0,6.94505648637344,46.795511845684
892465,CH,2,1,6.88922883155325,46.8381211496562
895274,CH,2,0,6.78180626726075,46.8119259586972
895818,CH,2,1,6.9572744865986,46.8339569917039
896669,CH,1,1,7.01741910490642,46.8683321349841
898070,CH,2,0,6.81952324811699,46.8363347607575
898071,CH,2,0,6.78180626726075,46.8119259586972
898074,CH,2,0,7.03291285104386,46.8904628863395
898075,CH,1,0,7.03291285104386,46.8904628863395
898089,CH,1,0,6.90837346201792,46.8708203544548
898092,CH,2,0,6.86444763120679,46.8484702959729
898172,CH,1,0,6.83139583343201,46.7948115020133
